movie,link,money
Battle in Heaven,/title/tt0387055/?ref_=bo_se_r_1,"
$258,227
"
Inland Empire,/title/tt0460829/?ref_=bo_se_r_1,"
$4,299,667
"
Mysteries of Lisbon,/title/tt1236371/?ref_=bo_se_r_1,"
$300,132
"
Children of Men,/title/tt0206634/?ref_=bo_se_r_1,"
$70,595,464
"
City of God,/title/tt0317248/?ref_=bo_se_r_1,"
$30,680,793
"
The Incredibles,/title/tt26443597/?ref_=bo_se_r_1,"
                        
                            
                                –
                            
                            
                        
                    "
Birdman,/title/tt2562232/?ref_=bo_se_r_1,"
$103,215,094
"
Brokeback Mountain,/title/tt0388795/?ref_=bo_se_r_1,"
$178,062,759
"
12 Years a Slave,/title/tt2024544/?ref_=bo_se_r_1,"
$187,733,202
"
Fish Tank,/title/tt1232776/?ref_=bo_se_r_1,"
$2,404,300
"
Mommy,/title/tt3612616/?ref_=bo_se_r_1,"
$13,156,856
"
Talk to Her,/title/tt0287467/?ref_=bo_se_r_1,"
$64,825,154
"
Timbuktu,/title/tt3409392/?ref_=bo_se_r_1,"
$7,179,391
"
Selma,/title/tt1020072/?ref_=bo_se_r_1,"
$67,782,762
"
The White Ribbon,/title/tt1149362/?ref_=bo_se_r_1,"
$19,319,671
"
The Headless Woman,/title/tt1221141/?ref_=bo_se_r_1,"
$305,766
"
The Royal Tenenbaums,/title/tt0265666/?ref_=bo_se_r_1,"
$71,441,655
"
Far From Heaven,/title/tt0297884/?ref_=bo_se_r_1,"
$29,027,914
"
Moonrise Kingdom,/title/tt1748122/?ref_=bo_se_r_1,"
$68,264,022
"
Lost in Translation,/title/tt0335266/?ref_=bo_se_r_1,"
$118,686,937
"
A Single Man,/title/tt1315981/?ref_=bo_se_r_1,"
$24,964,890
"
Toy Story 3,/title/tt0435761/?ref_=bo_se_r_1,"
$1,067,316,101
"
I Am Love,/title/tt1226236/?ref_=bo_se_r_1,"
$11,815,252
"
Donnie Darko,/title/tt0246578/?ref_=bo_se_r_1,"
$7,151,570
"
Inherent Vice,/title/tt1791528/?ref_=bo_se_r_1,"
$14,810,975
"
Film socialisme,/title/tt1438535/?ref_=bo_se_r_1,"
$222,079
"
This Is the End,/title/tt1245492/?ref_=bo_se_r_1,"
$126,041,322
"
Somewhere,/title/tt1421051/?ref_=bo_se_r_1,"
$14,788,839
"
Almayer's Folly,/title/tt1532530/?ref_=bo_se_r_1,"
$7,876
"
The Story of Marie and Julien,/title/tt0339357/?ref_=bo_se_r_1,"
$66,543
"
Bamboozled,/title/tt0215545/?ref_=bo_se_r_1,"
$2,463,650
"
Under the Skin,/title/tt1441395/?ref_=bo_se_r_1,"
$5,968,016
"
Anomalisa,/title/tt2401878/?ref_=bo_se_r_1,"
$5,659,286
"
Madagascar 3: Europe's Most Wanted,/title/tt1277953/?ref_=bo_se_r_1,"
$746,921,274
"
Another Year,/title/tt1431181/?ref_=bo_se_r_1,"
$19,722,766
"
The Diving Bell and the Butterfly,/title/tt0401383/?ref_=bo_se_r_1,"
$19,780,116
"
The Social Network,/title/tt1285016/?ref_=bo_se_r_1,"
$224,920,375
"
WALL-E,/title/tt0910970/?ref_=bo_se_r_1,"
$521,311,890
"
The Son's Room,/title/tt0368226/?ref_=bo_se_r_1,"
$4,989,559
"
The Assassin,/title/tt0107843/?ref_=bo_se_r_1,"
$30,038,362
"
Million Dollar Baby,/title/tt0405159/?ref_=bo_se_r_1,"
$216,763,646
"
Leviathan,/title/tt0097737/?ref_=bo_se_r_1,"
$15,704,614
"
A Touch of Sin,/title/tt2852400/?ref_=bo_se_r_1,"
$854,891
"
Distant,/title/tt0346094/?ref_=bo_se_r_1,"
$767,337
"
A Prophet,/title/tt1235166/?ref_=bo_se_r_1,"
$17,874,044
"
Blue Is the Warmest Color,/title/tt2278871/?ref_=bo_se_r_1,"
$19,465,835
"
Moolaadé,/title/tt0416991/?ref_=bo_se_r_1,"
$495,270
"
The Secret in Their Eyes,/title/tt1305806/?ref_=bo_se_r_1,"
$35,079,650
"
Oldboy,/title/tt0364569/?ref_=bo_se_r_1,"
$17,495,578
"
Fat Girl,/title/tt0243255/?ref_=bo_se_r_1,"
$765,705
"
The Orphanage,/title/tt0464141/?ref_=bo_se_r_1,"
$78,638,987
"
The Hunt,/title/tt2106476/?ref_=bo_se_r_1,"
$15,886,373
"
Spring Breakers,/title/tt2101441/?ref_=bo_se_r_1,"
$32,170,399
"
My Winnipeg,/title/tt1093842/?ref_=bo_se_r_1,"
$316,743
"
The Ghost Writer,/title/tt1139328/?ref_=bo_se_r_1,"
$60,331,447
"
Moulin Rouge!,/title/tt0203009/?ref_=bo_se_r_1,"
$184,928,542
"
Star Wars: Episode III – Revenge of the Sith,/title/tt0121766/?ref_=bo_se_r_1,"
$868,390,560
"
Manakamana,/title/tt3103326/?ref_=bo_se_r_1,"
$30,029
"
The Curious Case of Benjamin Button,/title/tt0421715/?ref_=bo_se_r_1,"
$335,802,786
"
"You, The Living",/title/tt0445336/?ref_=bo_se_r_1,"
$1,843,810
"
Shoot the Messenger,/title/tt0790712/?ref_=bo_se_r_1,"
$1,595,417
"
Red Leaves,/title/tt9349016/?ref_=bo_se_r_1,"
$6,757
"
The Colonial Misunderstanding,/title/tt0036112/?ref_=bo_se_r_1,"
$88,686
"
Restless City,/title/tt1545464/?ref_=bo_se_r_1,"
$8,100
"
Conversations on a Sunday Afternoon,/title/tt0483741/?ref_=bo_se_r_1,"
$513,004
"
Belle,/title/tt13651628/?ref_=bo_se_r_1,"
$64,666,502
"
Requiem for a Dream,/title/tt0180093/?ref_=bo_se_r_1,"
$7,390,108
"
Antichrist,/title/tt0870984/?ref_=bo_se_r_1,"
$7,413,863
"
The Child,/title/tt0456396/?ref_=bo_se_r_1,"
$5,507,396
"
Kill Bill: Vol. 1,/title/tt0266697/?ref_=bo_se_r_1,"
$180,906,076
"
Irreversible,/title/tt0290673/?ref_=bo_se_r_1,"
$6,490,733
"
Amour,/title/tt1602620/?ref_=bo_se_r_1,"
$29,664,140
"
Monsoon Wedding,/title/tt0265343/?ref_=bo_se_r_1,"
$30,787,356
"
Son of Saul,/title/tt3808342/?ref_=bo_se_r_1,"
$6,659,121
"
Thithi,/title/tt9900782/?ref_=bo_se_r_1,"
$522,938
"
No Man's Land,/title/tt0093638/?ref_=bo_se_r_1,"
$2,877,571
"
Waltz with Bashir,/title/tt1185616/?ref_=bo_se_r_1,"
$11,179,372
"
In Praise of Love,/title/tt0181912/?ref_=bo_se_r_1,"
$503,548
"
Like Someone In Love,/title/tt1843287/?ref_=bo_se_r_1,"
$562,878
"
Heaven Knows What,/title/tt3687186/?ref_=bo_se_r_1,"
$84,417
"
The Future,/title/tt0088763/?ref_=bo_se_r_1,"
$383,336,762
"
Coma,/title/tt0077355/?ref_=bo_se_r_1,"
                        
                            
                                –
                            
                            
                        
                    "
The Matchmaker,/title/tt0119632/?ref_=bo_se_r_1,"
$3,392,080
"
Footnote,/title/tt1445520/?ref_=bo_se_r_1,"
$2,451,259
"
The Son,/title/tt14458442/?ref_=bo_se_r_1,"
$3,617,681
"
You Can Count On Me,/title/tt0203230/?ref_=bo_se_r_1,"
$11,242,521
"
Yossi & Jagger,/title/tt0334754/?ref_=bo_se_r_1,"
$351,707
"
"O Brother, Where Art Thou?",/title/tt0190590/?ref_=bo_se_r_1,"
$71,870,729
"
The Babadook,/title/tt2321549/?ref_=bo_se_r_1,"
$10,484,459
"
"Spring, Summer, Fall, Winter…and Spring",/title/tt0374546/?ref_=bo_se_r_1,"
$8,945,072
"
Russian Ark,/title/tt0318034/?ref_=bo_se_r_1,"
$8,690,168
"
Inside Out,/title/tt2096673/?ref_=bo_se_r_1,"
$858,848,019
"
Persepolis,/title/tt0808417/?ref_=bo_se_r_1,"
$22,783,978
"
Mad Max: Fury Road,/title/tt1392190/?ref_=bo_se_r_1,"
$380,418,444
"
Attack the Block,/title/tt1478964/?ref_=bo_se_r_1,"
$6,206,022
"
Before Sunset,/title/tt0381681/?ref_=bo_se_r_1,"
$15,849,759
"
Ratatouille,/title/tt0382932/?ref_=bo_se_r_1,"
$623,726,085
"
Amores Perros,/title/tt0245712/?ref_=bo_se_r_1,"
$20,908,467
"
Minority Report,/title/tt0181689/?ref_=bo_se_r_1,"
$358,372,926
"
Secret Sunshine,/title/tt0817225/?ref_=bo_se_r_1,"
$11,581,469
"
The Dark Knight,/title/tt0468569/?ref_=bo_se_r_1,"
$1,029,266,147
"
35 Shots of Rum,/title/tt1100048/?ref_=bo_se_r_1,"
$973,539
"
The Three Burials of Melquiades Estrada,/title/tt0419294/?ref_=bo_se_r_1,"
$12,045,362
"
The Blind Swordsman: Zatoichi,/title/tt0363226/?ref_=bo_se_r_1,"
$34,196,922
"
Dancer in the Dark,/title/tt0168629/?ref_=bo_se_r_1,"
$40,061,153
"
Tey,/title/tt2186933/?ref_=bo_se_r_1,"
$1,813,916
"
Sweet Sixteen,/title/tt0313670/?ref_=bo_se_r_1,"
$3,961,374
"
Ezra,/title/tt0923688/?ref_=bo_se_r_1,"
$32,831
"
Almost Famous,/title/tt0181875/?ref_=bo_se_r_1,"
$47,386,287
"
Memories of Murder,/title/tt0353969/?ref_=bo_se_r_1,"
$1,204,841
"
Tropical Malady,/title/tt0381668/?ref_=bo_se_r_1,"
$46,750
"
Hard to Be a God,/title/tt2328813/?ref_=bo_se_r_1,"
$1,299,035
"
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,/title/tt0443453/?ref_=bo_se_r_1,"
$262,552,893
"
Let the Right One In,/title/tt1139797/?ref_=bo_se_r_1,"
$11,227,336
"
World of Tomorrow,/title/tt0206634/?ref_=bo_se_r_1,"
$70,595,464
"
